RULE_CATEGORY,RULE_DESCRIPTION,RULE_LABELS,RULE_LEFT_HAND_SIDE,RULE_NAME,SCORE
Document Verification,,"mismatchFullName,extraction","(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.firstName != null, $preparedData.lastName != null) $extraction: Extraction(labels contains ""DOCUMENT"", firstName != null) from $extractionList eval(!(matchFuzzy(($preparedData.firstName + "" "" + $preparedData.lastName).toLowerCase(), $extraction.firstName.toLowerCase(), 70)))",POA mismatch full name,15
Document Verification,,"mismatchCity,extraction","(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.address != null, $preparedData.address.city != null ) $extraction: Extraction( labels contains ""DOCUMENT"", address != null, address.city != null ) from $extractionList eval(!(matchFuzzy($preparedData.address.city.toLowerCase(), $extraction.address.city.toLowerCase(), 70)))",POA mismatch city,15
Document Verification,,"mismatchAddress,extraction","(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.address != null, $preparedData.address.line1 != null ) $extraction: Extraction( labels contains ""DOCUMENT"", address != null, address.line1 != null ) from $extractionList eval(!(matchFuzzy($preparedData.address.line1.toLowerCase(), $extraction.address.line1.toLowerCase(), 70)))",POA mismatch address,15
Document Verification,,"mismatchPostalcode,extraction","($extractionList: extractionList != null, $preparedData: preparedData != null) (Extraction($labelsLabelLeft: labels contains ""DOCUMENT"", address != null, $preparedData.address != null, $preparedData.address.postalCode != null, address.postalCode != null, !($preparedData.address.postalCode.replace("" "","""") == address.postalCode.replace("" "",""""))) from $extractionList)",POA mismatch postal code,10
Document Verification,,"wrongDocumentType,extraction","(($extractionList: extractionList != null)) $extraction: Extraction(labels contains ""DOCUMENT"", documentType != null) from $extractionList eval(!($extraction.documentType.toLowerCase().equals(""ub"") || $extraction.documentType.toLowerCase().equals(""bs"")))",POA wrong documentType,100
Document Verification,,"tooOld,extraction","($extractionList: extractionList != null) (Extraction($labels: labels contains ""DOCUMENT"", issuingDate != null, (java.time.LocalDate.now().minusMonths(6).isAfter(java.time.LocalDate.parse(issuingDate)))) from $extractionList)",POA older than 3 months,100
Document Verification,,noIssueDate,"($extractionList: extractionList != null) (Extraction($labels: labels contains ""DOCUMENT"", issuingDate == null) from $extractionList)",POA no issue date,100
ID Verification,,mismatchLastName,"(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.firstName != null ) $extraction: Extraction( labels contains ""ID"", firstName != null ) from $extractionList eval(!(matchFuzzy($preparedData.firstName.toLowerCase(), $extraction.firstName.toLowerCase(), 70)))",Mismatch first name,10
ID Verification,,mismatchFirstName,"(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.lastName != null ) $extraction: Extraction( labels contains ""ID"", lastName != null ) from $extractionList eval(!(matchFuzzy($preparedData.lastName.toLowerCase(), $extraction.lastName.toLowerCase(), 70)))",Mismatch last name,10
ID Verification,,mismatchDateOfBirth,"(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.dateOfBirth != null) $extraction: Extraction(labels contains ""ID"", dateOfBirth != null) from $extractionList eval($preparedData.dateOfBirth.toLowerCase().equals($extraction.dateOfBirth.toLowerCase()))",Mismatch date of birth,10
ID Verification,,mismatchCity,"(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.address != null, $preparedData.address.city != null ) $extraction: Extraction( labels contains ""ID"", address != null, address.city != null ) from $extractionList eval(!(matchFuzzy($preparedData.address.city.toLowerCase(), $extraction.address.city.toLowerCase(), 70)))",Mismatch city,10
ID Verification,,mismatchAddress,"(($extractionList: extractionList != null), $preparedData: preparedData != null, $preparedData.address != null, $preparedData.address.line1 != null ) $extraction: Extraction( labels contains ""ID"", address != null, address.line1 != null ) from $extractionList eval(!(matchFuzzy($preparedData.address.line1.toLowerCase(), $extraction.address.line1.toLowerCase(), 70)))",Mismatch address,10
ID Verification,,mismatchPostalCode,"($extractionList: extractionList != null, $preparedData: preparedData != null) (Extraction($labelsLabelLeft: labels contains ""ID"", address != null, $preparedData.address != null, $preparedData.address.postalCode != null, address.postalCode != null, !($preparedData.address.postalCode.replace("" "","""") == address.postalCode.replace("" "",""""))) from $extractionList)",Mismatch postal code,10